,angle
0,26.939218491933293
1,26.841928573251433
2,26.771546288602817
3,26.63265322377117
4,26.701274737997604
5,26.621535404173784
6,26.73829315833306
7,26.83585865114484
8,27.09971379142096
9,27.18038194176398
10,27.172919404540202
11,27.060304621924267
12,26.625460572843174
13,26.32525163926498
14,26.23701041651192
15,26.263509307118944
16,26.246787197746634
17,26.019165400388353
18,25.906590275759708
19,25.87582929446405
20,25.800973549779794
21,25.815934271196532
22,25.85021637582696
23,25.849190254985146
24,25.826993260330006
25,25.770460845275117
26,25.550000822949414
27,25.320759411015516
28,24.877224615030087
29,24.460090359828534
30,24.23539084117484
31,24.20128310855254
32,24.22963832642613
33,24.263048002226725
34,24.27357783843245
35,24.186576082073778
36,24.143864272113603
37,24.136737457530383
38,24.1466991333904
39,24.15664094891593
40,24.13782036881206
41,24.222346154971618
42,24.378993063966064
43,24.670649749225962
44,25.0063816267435
45,25.50830886661449
46,25.772730838734947
47,26.026640663751046
48,26.469068566098468
49,26.83185583735685
50,26.974216266132
51,27.032007128439066
52,27.038040957051294
53,27.057503821355787
54,27.10594633729946
55,27.173917123214732
56,27.14851042416656
57,27.177748276143824
58,27.178245104278528
59,27.245929027225632
60,27.280494438228466
61,27.302199691115575
62,27.24931365841822
63,27.22480359196702
64,27.20930002737854
65,27.208965382096984
66,27.214409421379074
67,27.205558608428756
68,27.210064045235058
69,27.15664405753475
70,27.157945171578188
71,27.197016365460154
72,27.261607337173864
73,27.241830884063056
74,27.257988954746825
75,27.23358771125628
76,27.258504490331468
77,27.2018052323684
78,27.248221947776084
79,27.264097964971082
80,27.293759144743596
81,27.349154830509637
82,27.402274781994354
83,27.468666756623808
84,27.370132517016962
85,27.320046331263708
86,27.262157304648376
87,27.20028386808169
88,27.146800247172543
89,27.059267837078902
90,27.03790298687226
91,27.016954792785498
92,26.994740271861133
93,27.08052945305873
94,27.03572353560338
95,27.01643007717675
96,27.109578305588702
97,27.06308810087529
98,27.04863534235859
99,27.09609975712363
100,27.110655975645834
101,27.138161229030086
102,27.162321231799506
103,27.169166402062313
104,27.190711961321142
105,27.167692089763115
106,27.184353410466027
107,27.146327763218963
108,27.175724148182947
109,27.38184867721306
110,26.88903442213962
111,26.919460546653784
112,26.960560479920694
113,26.888744443399474
114,26.88064758203972
115,26.900957890036548
116,26.875507493303676
117,26.60393150369959
118,26.38452675167144
119,25.202124036226174
120,24.49237313403628
121,23.912415343981834
122,23.001586959914068
123,22.609341749963377
124,22.517611130598695
125,22.477940213963556
126,22.819210068617387
127,23.33561140639434
128,23.7411829095482
129,24.178764373595023
130,24.40400446273212
131,24.597316742326875
132,24.195561089328233
133,24.035066951848936
134,23.96990556138703
135,23.746292671423646
136,23.569910701982536
137,23.560432292909876
138,23.499458280807048
139,23.34173110327336
140,22.67049935441943
141,22.381186201450216
142,22.201640754964195
143,21.998612021018648
144,22.187825005760843
145,22.352616819766567
146,22.729486673797613
147,22.5507279616269
148,22.45706541660321
149,23.173009274812063
150,24.002436972200872
151,24.82514078726269
152,25.75839786598138
153,26.395573209762617
154,26.909343931233707
155,27.370797401110742
156,27.642511985103845
157,27.82710413477738
158,27.92228170410751
159,27.929418317185608
160,27.985364639423167
161,27.946767327449994
162,27.93056477752052
163,28.098113270977958
164,27.851955790763125
165,27.448592873698157
166,26.191127427895875
167,24.132524200009364
168,23.4973993347655
169,22.973579472551535
170,22.488016743677974
171,22.536810380887804
172,22.65359623359571
173,21.692708577971167
174,21.932524803212054
175,21.85043287709726
176,22.168246657715812
177,22.483301448457166
178,22.71132710939657
179,22.436984907778903
180,22.22998123462033
181,21.869705181564257
182,21.793807330499384
183,22.230363749300228
184,22.919623831808874
185,23.380836877538602
186,23.47004037783077
187,23.23659828890126
188,23.12547808969829
189,22.490862979009627
190,22.14429024701315
191,22.11833362815798
192,21.967889220727283
193,21.998957496865327
194,21.670304378795063
195,21.113647690622514
196,21.044808879939858
197,21.005503658025184
198,20.835920598134543
199,20.931555644593296
200,20.971414741267427
201,20.98015462984726
202,21.18005312315198
203,21.41415438158766
204,21.683040960870578
205,21.699395298199974
206,21.942577376285833
207,21.74127878854459
208,21.002092489895322
209,20.876117207781707
210,21.004775894768077
211,21.182601158590085
212,21.781836181523673
213,22.63302347058278
214,23.53406917755684
215,23.975867827935343
216,23.855143829977003
217,23.785202183736747
218,23.677587726060807
219,23.41641817910734
220,23.152733346949653
221,22.810078420214
222,22.620669785064088
223,22.664552936275477
224,22.84523996938362
225,22.968172890588157
226,22.988520854083568
227,23.037083351419763
228,22.863698379117125
229,22.883229731411138
230,23.130003458286033
231,23.46268778710411
232,23.81906109848278
233,23.460244602372914
234,22.668339382314045
235,22.28530402515771
236,21.911498663426155
237,21.898868053781463
238,21.97532376651962
239,22.31375212139619
240,22.543056360826025
241,22.561345378948964
242,23.204181844670313
243,22.835982156231996
244,22.76323282711653
245,22.696704708886628
246,22.24965842978203
247,22.461726988897713
248,22.227846946367656
249,22.262584143264338
250,22.39498501573386
251,22.190389342846906
252,22.761123069696485
253,23.215925503422483
254,24.08062991925592
255,24.529374489482894
256,24.65838572696481
257,24.81130422178718
258,24.837596777803775
259,24.418491027384878
260,23.193083770109066
261,22.362159039869752
262,21.951105879230017
263,21.556978175398907
264,21.40544565732261
265,21.036384121412542
266,20.98323446023926
267,21.09414601089814
268,20.778461156306566
269,21.308721397745465
270,21.362337573363373
271,21.21819336317266
272,22.130517949696255
273,21.706070660479778
274,22.767764339571244
275,23.641426178311917
276,23.097330223986877
277,23.53982263693767
278,23.799383783624766
279,24.07510012516173
280,24.55885146387427
281,25.015487219337665
282,25.069450911780216
283,25.67586782233208
284,25.859949380465554
285,26.705379410686966
286,26.952094956005592
287,27.580635496373045
288,28.450815997586854
289,29.5615871062523
290,30.71760731191276
291,33.20425994304374
292,30.693257113086403
293,30.189981213456168
294,30.763029211907266
295,30.114402253814163
296,29.7748543462439
297,28.18029783513297
298,26.94563710718457
299,25.629825906154508
300,25.488436412532792
301,23.53412756622184
302,21.848149747810485
303,21.8969036465611
304,21.95091603950473
305,22.117943106874545
